entry_id,title,abstract,published,updated,main_author,authors,all_categories,main_category,pdf_url,target_year
http://arxiv.org/abs/2604.04934v1,Vanast: Virtual Try-On with Human Image Animation via Synthetic Triplet Supervision,"We present Vanast, a unified framework that generates garment-transferred human animation videos directly from a single human image, garment images, and a pose guidance video. Conventional two-stage pipelines treat image-based virtual try-on and pose-driven animation as separate processes, which often results in identity drift, garment distortion, and front-back inconsistency. Our model addresses these issues by performing the entire process in a single unified step to achieve coherent synthesis. To enable this setting, we construct large-scale triplet supervision. Our data generation pipeline includes generating identity-preserving human images in alternative outfits that differ from garment catalog images, capturing full upper and lower garment triplets to overcome the single-garment-posed video pair limitation, and assembling diverse in-the-wild triplets without requiring garment catalog images. We further introduce a Dual Module architecture for video diffusion transformers to stabilize training, preserve pretrained generative quality, and improve garment accuracy, pose adherence, and identity preservation while supporting zero-shot garment interpolation. Together, these contributions allow Vanast to produce high-fidelity, identity-consistent animation across a wide range of garment types.",2026-04-06T17:59:59Z,2026-04-06T17:59:59Z,Hyunsoo Cha,Hyunsoo Cha; Wonjung Woo; Byungjun Kim; Hanbyul Joo,cs.CV,cs.CV,https://arxiv.org/pdf/2604.04934v1,2026
http://arxiv.org/abs/2604.04933v1,PointTPA: Dynamic Network Parameter Adaptation for 3D Scene Understanding,"Scene-level point cloud understanding remains challenging due to diverse geometries, imbalanced category distributions, and highly varied spatial layouts. Existing methods improve object-level performance but rely on static network parameters during inference, limiting their adaptability to dynamic scene data. We propose PointTPA, a Test-time Parameter Adaptation framework that generates input-aware network parameters for scene-level point clouds. PointTPA adopts a Serialization-based Neighborhood Grouping (SNG) to form locally coherent patches and a Dynamic Parameter Projector (DPP) to produce patch-wise adaptive weights, enabling the backbone to adjust its behavior according to scene-specific variations while maintaining a low parameter overhead. Integrated into the PTv3 structure, PointTPA demonstrates strong parameter efficiency by introducing two lightweight modules of less than 2% of the backbone's parameters. Despite this minimal parameter overhead, PointTPA achieves 78.4% mIoU on ScanNet validation, surpassing existing parameter-efficient fine-tuning (PEFT) methods across multiple benchmarks, highlighting the efficacy of our test-time dynamic network parameter adaptation mechanism in enhancing 3D scene understanding. The code is available at https://github.com/H-EmbodVis/PointTPA.",2026-04-06T17:59:58Z,2026-04-06T17:59:58Z,Siyuan Liu,Siyuan Liu; Chaoqun Zheng; Xin Zhou; Tianrui Feng; Dingkang Liang; Xiang Bai,cs.CV,cs.CV,https://arxiv.org/pdf/2604.04933v1,2026
http://arxiv.org/abs/2604.04932v1,Beyond the Final Actor: Modeling the Dual Roles of Creator and Editor for Fine-Grained LLM-Generated Text Detection,"The misuse of large language models (LLMs) requires precise detection of synthetic text. Existing works mainly follow binary or ternary classification settings, which can only distinguish pure human/LLM text or collaborative text at best. This remains insufficient for the nuanced regulation, as the LLM-polished human text and humanized LLM text often trigger different policy consequences. In this paper, we explore fine-grained LLM-generated text detection under a rigorous four-class setting. To handle such complexities, we propose RACE (Rhetorical Analysis for Creator-Editor Modeling), a fine-grained detection method that characterizes the distinct signatures of creator and editor. Specifically, RACE utilizes Rhetorical Structure Theory to construct a logic graph for the creator's foundation while extracting Elementary Discourse Unit-level features for the editor's style. Experiments show that RACE outperforms 12 baselines in identifying fine-grained types with low false alarms, offering a policy-aligned solution for LLM regulation.",2026-04-06T17:59:55Z,2026-04-06T17:59:55Z,Yang Li,Yang Li; Qiang Sheng; Zhengjia Wang; Yehan Yang; Danding Wang; Juan Cao,cs.CL,cs.CL,https://arxiv.org/pdf/2604.04932v1,2026
http://arxiv.org/abs/2604.04931v1,LoMa: Local Feature Matching Revisited,"Local feature matching has long been a fundamental component of 3D vision systems such as Structure-from-Motion (SfM), yet progress has lagged behind the rapid advances of modern data-driven approaches. The newer approaches, such as feed-forward reconstruction models, have benefited extensively from scaling dataset sizes, whereas local feature matching models are still only trained on a few mid-sized datasets. In this paper, we revisit local feature matching from a data-driven perspective. In our approach, which we call LoMa, we combine large and diverse data mixtures, modern training recipes, scaled model capacity, and scaled compute, resulting in remarkable gains in performance. Since current standard benchmarks mainly rely on collecting sparse views from successful 3D reconstructions, the evaluation of progress in feature matching has been limited to relatively easy image pairs. To address the resulting saturation of benchmarks, we collect 1000 highly challenging image pairs from internet data into a new dataset called HardMatch. Ground truth correspondences for HardMatch are obtained via manual annotation by the authors. In our extensive benchmarking suite, we find that LoMa makes outstanding progress across the board, outperforming the state-of-the-art method ALIKED+LightGlue by +18.6 mAA on HardMatch, +29.5 mAA on WxBS, +21.4 (1m, 10$^\circ$) on InLoc, +24.2 AUC on RUBIK, and +12.4 mAA on IMC 2022. We release our code and models publicly at https://github.com/davnords/LoMa.",2026-04-06T17:59:49Z,2026-04-06T17:59:49Z,David Nordström,David Nordström; Johan Edstedt; Georg Bökman; Jonathan Astermark; Anders Heyden; Viktor Larsson; Mårten Wadenbäck; Michael Felsberg; Fredrik Kahl,cs.CV,cs.CV,https://arxiv.org/pdf/2604.04931v1,2026
http://arxiv.org/abs/2604.04930v1,Early Stopping for Large Reasoning Models via Confidence Dynamics,"Large reasoning models rely on long chain-of-thought generation to solve complex problems, but extended reasoning often incurs substantial computational cost and can even degrade performance due to overthinking. A key challenge is determining when the model should stop reasoning and produce the final answer. In this work, we study the confidence of intermediate answers during reasoning and observe two characteristic behaviors: correct reasoning trajectories often reach high-confidence answers early, while incorrect rollouts tend to produce long, unproductive reasoning traces and exhibit less reliable confidence dynamics. Motivated by these observations, we propose CoDE-Stop (Confidence Dynamics Early Stop), an early stopping method that leverages the dynamics of intermediate answer confidence to decide when to terminate reasoning, requiring no additional training and easily integrating into existing models. We evaluate CoDE-Stop on diverse reasoning and science benchmarks across multiple models. Compared to prior early stopping methods, it achieves a more favorable accuracy-compute tradeoff and reduces total token usage by 25-50% compared to standard full-length reasoning. In addition, we provide analyses of confidence dynamics during reasoning, offering insights into how confidence changes in both correct and incorrect trajectories.",2026-04-06T17:59:45Z,2026-04-06T17:59:45Z,Parsa Hosseini,Parsa Hosseini; Sumit Nawathe; Mahdi Salmani; Meisam Razaviyayn; Soheil Feizi,cs.CL; cs.AI; cs.LG,cs.CL,https://arxiv.org/pdf/2604.04930v1,2026
http://arxiv.org/abs/2604.04929v1,Rethinking Model Efficiency: Multi-Agent Inference with Large Models,"Most vision-language models (VLMs) apply a large language model (LLM) as the decoder, where the response tokens are generated sequentially through autoregression. Therefore, the number of output tokens can be the bottleneck of the end-to-end latency. However, different models may require vastly different numbers of output tokens to achieve comparable performance. In this work, we conduct a comprehensive analysis of the latency across different components of VLMs on simulated data. The experiment shows that a large model with fewer output tokens can be more efficient than a small model with a long output sequence. The empirical study on diverse real-world benchmarks confirms the observation that a large model can achieve better or comparable performance as a small model with significantly fewer output tokens. To leverage the efficiency of large models, we propose a multi-agent inference framework that keeps large models with short responses but transfers the key reasoning tokens from the small model when necessary. The comparison on benchmark tasks demonstrates that by reusing the reasoning tokens from small models, it can help approach the performance of a large model with its own reasoning, which confirms the effectiveness of our proposal.",2026-04-06T17:59:35Z,2026-04-06T17:59:35Z,Sixun Dong,Sixun Dong; Juhua Hu; Steven Li; Wei Wen; Qi Qian,cs.CV,cs.CV,https://arxiv.org/pdf/2604.04929v1,2026
http://arxiv.org/abs/2603.27158v2,Weakly Convex Ridge Regularization for 3D Non-Cartesian MRI Reconstruction,"While highly accelerated non-Cartesian acquisition protocols significantly reduce scan time, they often entail long reconstruction delays. Deep learning based reconstruction methods can alleviate this, but often lack stability and robustness to distribution shifts. As an alternative, we train a rotation invariant weakly convex ridge regularizer (WCRR). The resulting variational reconstruction approach is benchmarked against state of the art methods on retrospectively simulated data and (out of distribution) on prospective GoLF SPARKLING and CAIPIRINHA acquisitions. Our approach consistently outperforms widely used baselines and achieves performance comparable to Plug and Play reconstruction with a state of the art 3D DRUNet denoiser, while offering substantially improved computational efficiency and robustness to acquisition changes. In summary, WCRR unifies the strengths of principled variational methods and modern deep learning based approaches.",2026-03-28T06:48:06Z,2026-04-06T17:59:22Z,German Shâma Wache,German Shâma Wache; Chaithya G R; Asma Tanabene; Sebastian Neumayer,cs.CV; cs.LG,cs.CV,https://arxiv.org/pdf/2603.27158v2,2026
http://arxiv.org/abs/2604.04926v1,Comprehensive List of User Deception Techniques in Emails,"Email remains a central communication medium, yet its long-standing design and interface conventions continue to enable deceptive attacks. This research note presents a structured list of 42 email-based deception techniques, documented with 64 concrete example implementations, organized around the sender, link, and attachment security indicators as well as techniques targeting the email rendering environment. Building on a prior systematic literature review, we consolidate previously reported techniques with newly developed example implementations and introduce novel deception techniques identified through our own examination. Rather than assessing effectiveness or real-world severity, each entry explains the underlying mechanism in isolation, separating the high-level deception goal from its concrete technical implementation. The documented techniques serve as modular building blocks and a structured reference for future work on countermeasures across infrastructure, email client design, and security awareness, supporting researchers as well as developers, operators, and designers working in these areas.",2026-04-06T17:59:14Z,2026-04-06T17:59:14Z,Maxime Veit,Maxime Veit; Mattia Mossano; Tobias Länge; Melanie Volkamer,cs.CR; cs.HC,cs.CR,https://arxiv.org/pdf/2604.04926v1,2026
http://arxiv.org/abs/2604.04925v1,Fully Procedural Synthetic Data from Simple Rules for Multi-View Stereo,"In this paper, we explore the design space of procedural rules for multi-view stereo (MVS). We demonstrate that we can generate effective training data using SimpleProc: a new, fully procedural generator driven by a very small set of rules using Non-Uniform Rational Basis Splines (NURBS), as well as basic displacement and texture patterns. At a modest scale of 8,000 images, our approach achieves superior results compared to manually curated images (at the same scale) sourced from games and real-world objects. When scaled to 352,000 images, our method yields performance comparable to--and in several benchmarks, exceeding--models trained on over 692,000 manually curated images. The source code and the data are available at https://github.com/princeton-vl/SimpleProc.",2026-04-06T17:59:05Z,2026-04-06T17:59:05Z,Zeyu Ma,Zeyu Ma; Alexander Raistrick; Jia Deng,cs.CV,cs.CV,https://arxiv.org/pdf/2604.04925v1,2026
http://arxiv.org/abs/2604.04924v1,Your Pre-trained Diffusion Model Secretly Knows Restoration,"Pre-trained diffusion models have enabled significant advancements in All-in-One Restoration (AiOR), offering improved perceptual quality and generalization. However, diffusion-based restoration methods primarily rely on fine-tuning or Control-Net style modules to leverage the pre-trained diffusion model's priors for AiOR. In this work, we show that these pre-trained diffusion models inherently possess restoration behavior, which can be unlocked by directly learning prompt embeddings at the output of the text encoder. Interestingly, this behavior is largely inaccessible through text prompts and text-token embedding optimization. Furthermore, we observe that naive prompt learning is unstable because the forward noising process using degraded images is misaligned with the reverse sampling trajectory. To resolve this, we train prompts within a diffusion bridge formulation that aligns training and inference dynamics, enforcing a coherent denoising path from noisy degraded states to clean images. Building on these insights, we introduce our lightweight learned prompts on the pre-trained WAN video model and FLUX image models, converting them into high-performing restoration models. Extensive experiments demonstrate that our approach achieves competitive performance and generalization across diverse degradations, while avoiding fine-tuning and restoration-specific control modules.",2026-04-06T17:59:04Z,2026-04-06T17:59:04Z,Sudarshan Rajagopalan,Sudarshan Rajagopalan; Vishal M. Patel,cs.CV; cs.AI,cs.CV,https://arxiv.org/pdf/2604.04924v1,2026
