metric,value
n_examples,25942.0
avg_input_words,303.37
avg_target_words,86.43
global_fraction,0.1787
final_fraction,0.1693
task_count::[GLOBAL],4637.0
task_count::[METHODS],4479.0
task_count::[RESULTS],4471.0
task_count::[FINAL],4393.0
task_count::[INTRO],4123.0
task_count::[CONCLUSION],3839.0
quality_count::good,20775.0
quality_count::borderline,5167.0
route_count::section_plus_global,25219.0
route_count::global_only,723.0
source_type_count::section_alignment,16912.0
source_type_count::global_from_abstract,4637.0
source_type_count::final_from_section_pseudo_targets,4393.0
